State,Year,Production,ANNUAL
ARUNACHAL PRADESH,1997-98,9961.923076923076,3418.8571428571427
ARUNACHAL PRADESH,1998-99,8778.153846153846,3418.8571428571427
ARUNACHAL PRADESH,1999-00,10369.76923076923,3418.8571428571427
ARUNACHAL PRADESH,2000-01,10206.923076923076,3418.8571428571427
ARUNACHAL PRADESH,2001-02,10355.461538461539,3418.8571428571427
ARUNACHAL PRADESH,2002-03,10166.666666666666,3418.8571428571427
ARUNACHAL PRADESH,2003-04,10305.933333333332,3418.8571428571427
ARUNACHAL PRADESH,2004-05,8434.375,3418.8571428571427
ARUNACHAL PRADESH,2005-06,9136.9375,3418.8571428571427
ARUNACHAL PRADESH,2006-07,9039.6875,3418.8571428571427
ARUNACHAL PRADESH,2007-08,9884.125,3418.8571428571427
ARUNACHAL PRADESH,2008-09,10283.625,3418.8571428571427
ARUNACHAL PRADESH,2009-10,8993.4125,3418.8571428571427
ARUNACHAL PRADESH,2010-11,9749.5625,3418.8571428571427
ARUNACHAL PRADESH,2011-12,9971.4375,3418.8571428571427
ARUNACHAL PRADESH,2012-13,10916.375,3418.8571428571427
ARUNACHAL PRADESH,2013-14,10829.64705882353,3418.8571428571427
ARUNACHAL PRADESH,2014-15,11176.0,3418.8571428571427
ARUNACHAL PRADESH,2015-16,10200.05,3418.8571428571427
ARUNACHAL PRADESH,2016-17,10999.997,3418.8571428571427
ARUNACHAL PRADESH,2017-18,11666.662999999999,3418.8571428571427
ARUNACHAL PRADESH,2018-19,10909.027272727273,3418.8571428571427
ARUNACHAL PRADESH,2019-20,9789.64,3418.8571428571427
BIHAR,1997-98,46622.816993464054,1197.6339130434783
BIHAR,1998-99,59934.41,1197.6339130434783
BIHAR,1999-00,14219.089743589744,1197.6339130434783
BIHAR,2000-01,54993.63636363636,1197.6339130434783
BIHAR,2001-02,54651.762886597935,1197.6339130434783
BIHAR,2002-03,54101.765957446805,1197.6339130434783
BIHAR,2003-04,58353.336734693876,1197.6339130434783
BIHAR,2004-05,26871.260869565216,1197.6339130434783
BIHAR,2005-06,40318.315217391304,1197.6339130434783
BIHAR,2006-07,56493.786516853936,1197.6339130434783
BIHAR,2007-08,48997.406593406595,1197.6339130434783
BIHAR,2008-09,64252.666666666664,1197.6339130434783
BIHAR,2009-10,39567.5,1197.6339130434783
BIHAR,2010-11,34584.64444444444,1197.6339130434783
BIHAR,2011-12,91533.01111111112,1197.6339130434783
BIHAR,2012-13,92466.77777777778,1197.6339130434783
BIHAR,2013-14,76432.05747126437,1197.6339130434783
BIHAR,2014-15,98114.57142857143,1197.6339130434783
BIHAR,2015-16,80978.76190476191,1197.6339130434783
BIHAR,2016-17,100472.84146341463,1197.6339130434783
BIHAR,2017-18,107908.81333333334,1197.6339130434783
BIHAR,2018-19,85493.45833333333,1197.6339130434783
BIHAR,2019-20,91480.5,1197.6339130434783
CHHATTISGARH,2000-01,148080.9375,1371.7286956521739
CHHATTISGARH,2001-02,317107.5625,1371.7286956521739
CHHATTISGARH,2002-03,164678.3125,1371.7286956521739
CHHATTISGARH,2003-04,347977.75,1371.7286956521739
CHHATTISGARH,2004-05,286676.125,1371.7286956521739
CHHATTISGARH,2005-06,329221.0625,1371.7286956521739
CHHATTISGARH,2006-07,340095.3125,1371.7286956521739
CHHATTISGARH,2007-08,313054.0,1371.7286956521739
CHHATTISGARH,2008-09,261527.72222222222,1371.7286956521739
CHHATTISGARH,2009-10,241517.55555555556,1371.7286956521739
CHHATTISGARH,2010-11,368763.1666666667,1371.7286956521739
CHHATTISGARH,2011-12,233363.88888888888,1371.7286956521739
CHHATTISGARH,2012-13,290681.51851851854,1371.7286956521739
CHHATTISGARH,2013-14,263064.037037037,1371.7286956521739
CHHATTISGARH,2014-15,295472.0740740741,1371.7286956521739
CHHATTISGARH,2015-16,190901.03703703705,1371.7286956521739
CHHATTISGARH,2016-17,325676.77777777775,1371.7286956521739
CHHATTISGARH,2017-18,212927.55555555556,1371.7286956521739
CHHATTISGARH,2018-19,241090.0,1371.7286956521739
CHHATTISGARH,2019-20,306048.8214285714,1371.728695652174
HIMACHAL PRADESH,1998-99,10636.09090909091,1260.3452173913042
HIMACHAL PRADESH,1999-00,10942.272727272728,1260.3452173913042
HIMACHAL PRADESH,2000-01,11353.90909090909,1260.3452173913042
HIMACHAL PRADESH,2001-02,12492.545454545454,1260.3452173913042
HIMACHAL PRADESH,2002-03,7786.636363636364,1260.3452173913042
HIMACHAL PRADESH,2003-04,10965.818181818182,1260.3452173913042
HIMACHAL PRADESH,2004-05,9920.818181818182,1260.3452173913042
HIMACHAL PRADESH,2005-06,10194.454545454546,1260.3452173913042
HIMACHAL PRADESH,2006-07,11225.90909090909,1260.3452173913042
HIMACHAL PRADESH,2007-08,11041.181818181818,1260.3452173913042
HIMACHAL PRADESH,2008-09,10752.454545454546,1260.3452173913042
HIMACHAL PRADESH,2009-10,9617.0,1260.3452173913042
HIMACHAL PRADESH,2010-11,10021.636363636364,1260.3452173913042
HIMACHAL PRADESH,2011-12,9877.09090909091,1260.3452173913042
HIMACHAL PRADESH,2012-13,10113.818181818182,1260.3452173913042
HIMACHAL PRADESH,2013-14,9718.09090909091,1260.3452173913042
HIMACHAL PRADESH,2014-15,10578.636363636364,1260.3452173913042
HIMACHAL PRADESH,2015-16,10424.545454545454,1260.3452173913042
HIMACHAL PRADESH,2016-17,9414.272727272728,1260.3452173913042
HIMACHAL PRADESH,2017-18,10435.0,1260.3452173913042
HIMACHAL PRADESH,2018-19,10445.09090909091,1260.3452173913042
HIMACHAL PRADESH,2019-20,10625.363636363636,1260.3452173913042
JHARKHAND,2002-03,35436.366379,1309.3034782608695
JHARKHAND,2003-04,52523.056648108104,1309.3034782608695
JHARKHAND,2004-05,27199.270855062165,1309.3034782608695
JHARKHAND,2005-06,17056.297778183332,1309.3034782608697
JHARKHAND,2006-07,32498.728878795453,1309.3034782608695
JHARKHAND,2007-08,34200.558076744186,1309.3034782608695
JHARKHAND,2008-09,31842.08170212766,1309.3034782608695
JHARKHAND,2009-10,12605.911489361704,1309.3034782608695
JHARKHAND,2011-12,29283.485957446806,1309.3034782608695
JHARKHAND,2012-13,30265.712127659575,1309.3034782608695
JHARKHAND,2013-14,31879.143829787234,1309.3034782608695
JHARKHAND,2014-15,30277.938913043476,1309.3034782608697
JHARKHAND,2015-16,16217.896808510639,1309.3034782608695
JHARKHAND,2016-17,63068.78409090909,1309.3034782608695
JHARKHAND,2017-18,142552.20833333334,1309.3034782608695
JHARKHAND,2018-19,120587.54166666667,1309.3034782608695
JHARKHAND,2019-20,150524.54166666666,1309.3034782608695
KERALA,1998-99,18168.575,2925.4878260869564
KERALA,1999-00,18797.219512195123,2925.4878260869564
KERALA,2000-01,18325.073170731706,2925.4878260869564
KERALA,2001-02,17158.634146341465,2925.4878260869564
KERALA,2002-03,16801.439024390245,2925.4878260869564
KERALA,2003-04,14251.125,2925.4878260869564
KERALA,2004-05,16677.625,2925.4878260869564
KERALA,2005-06,15365.536585365853,2925.4878260869564
KERALA,2006-07,15648.170731707318,2925.4878260869564
KERALA,2007-08,12889.951219512195,2925.4878260869564
KERALA,2008-09,14396.121951219513,2925.4878260869564
KERALA,2009-10,14593.634146341463,2925.4878260869564
KERALA,2010-11,12749.709439024391,2925.4878260869564
KERALA,2011-12,13877.890097560976,2925.4878260869564
KERALA,2012-13,12397.536585365853,2925.4878260869564
KERALA,2013-14,13764.024390243903,2925.4878260869564
KERALA,2014-15,13709.560975609756,2925.4878260869564
KERALA,2015-16,13396.951219512195,2925.4878260869564
KERALA,2016-17,10645.926829268292,2925.4878260869564
KERALA,2017-18,12714.878048780487,2925.4878260869564
KERALA,2018-19,14103.80487804878,2925.4878260869564
KERALA,2019-20,14769.292682926829,2925.4878260869564
PUNJAB,1997-98,464941.17647058825,593.535652173913
PUNJAB,1998-99,467058.82352941175,593.535652173913
PUNJAB,1999-00,512705.8823529412,593.535652173913
PUNJAB,2000-01,538470.5882352941,593.535652173913
PUNJAB,2001-02,518588.23529411765,593.535652173913
PUNJAB,2002-03,522352.9411764706,593.535652173913
PUNJAB,2003-04,568000.0,593.535652173913
PUNJAB,2004-05,613941.1764705882,593.535652173913
PUNJAB,2005-06,599588.2352941176,593.535652173913
PUNJAB,2006-07,533578.947368421,593.535652173913
PUNJAB,2007-08,524450.0,593.535652173913
PUNJAB,2008-09,550000.0,593.535652173913
PUNJAB,2009-10,561800.0,593.535652173913
PUNJAB,2010-11,541850.0,593.535652173913
PUNJAB,2011-12,527100.0,593.535652173913
PUNJAB,2012-13,517727.2727272727,593.535652173913
PUNJAB,2013-14,512136.36363636365,593.535652173913
PUNJAB,2014-15,504863.63636363635,593.535652173913
PUNJAB,2015-16,537409.0909090909,593.535652173913
PUNJAB,2016-17,574454.5454545454,593.535652173913
PUNJAB,2017-18,608272.7272727273,593.535652173913
PUNJAB,2018-19,582818.1818181818,593.535652173913
PUNJAB,2019-20,576136.3636363636,593.535652173913
TAMIL NADU,1998-99,293403.0714285714,943.7130434782608
TAMIL NADU,1999-00,258049.0357142857,943.7130434782608
TAMIL NADU,2000-01,257782.25,943.7130434782608
TAMIL NADU,2001-02,235129.64285714287,943.7130434782608
TAMIL NADU,2002-03,127753.85714285714,943.7130434782608
TAMIL NADU,2003-04,115099.14285714286,943.7130434782608
TAMIL NADU,2004-05,174538.6896551724,943.7130434782608
TAMIL NADU,2005-06,179635.62068965516,943.7130434782608
TAMIL NADU,2006-07,227951.9655172414,943.7130434782608
TAMIL NADU,2007-08,173791.5172413793,943.7130434782608
TAMIL NADU,2008-09,178737.41379310345,943.7130434782608
TAMIL NADU,2009-10,182750.25806451612,943.7130434782608
TAMIL NADU,2010-11,186852.09677419355,943.7130434782608
TAMIL NADU,2011-12,240601.83870967742,943.7130434782608
TAMIL NADU,2012-13,130655.93548387097,943.7130434782608
TAMIL NADU,2013-14,229522.4193548387,943.7130434782608
TAMIL NADU,2014-15,256433.4516129032,943.7130434782608
TAMIL NADU,2015-16,237892.93548387097,943.7130434782608
